q0,q1,q2,q3,q4,q5,q6,q7,q8,output
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,7,0
0,0,0,0,0,8,0,7,0,0
0,0,0,0,8,0,7,0,0,0
0,0,0,8,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,7,0
0,0,0,0,0,0,0,7,7,0
0,0,0,0,0,0,7,7,6,0
0,0,0,0,0,0,7,6,0,0
0,0,0,0,6,0,0,0,7,6
0,0,0,6,0,0,0,7,0,6
0,0,0,0,0,0,7,0,0,6
0,0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,7,6
0,0,0,0,0,0,0,7,0,6
0,0,0,0,0,7,7,0,7,6
0,0,8,0,7,0,0,7,0,6
0,8,0,7,0,0,7,0,8,6
8,0,0,0,0,0,0,8,0,6
0,0,0,0,0,0,8,0,0,6
0,0,0,0,0,0,0,0,0,6
0,0,0,0,0,7,0,0,0,6
0,0,0,0,7,7,0,0,0,6
0,0,0,7,7,6,0,0,0,6
0,0,0,7,6,0,0,0,0,6
0,6,0,0,0,7,0,0,0,0
6,0,0,0,7,0,0,0,0,0
0,0,0,7,0,0,0,0,8,0
0,0,0,0,0,0,0,8,0,6
0,0,0,0,0,0,8,0,0,0
0,0,0,0,0,0,0,0,7,0
0,0,0,0,0,0,0,7,0,0
0,0,0,0,0,7,7,0,7,0
0,0,0,0,7,0,0,7,0,0
0,0,7,7,0,7,7,0,0,0
0,7,0,0,7,0,0,0,0,0
7,0,0,7,0,8,0,0,0,0
0,0,0,0,8,0,0,0,0,0
0,0,0,8,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,7,0,0,0,0,0,0,0
0,7,7,0,0,0,0,0,0,0
7,7,6,0,0,0,0,0,0,0
7,6,0,0,0,0,0,0,0,0
0,0,7,0,0,0,0,0,0,0
0,7,0,0,0,0,0,0,0,0
7,0,0,0,0,8,0,0,0,0
0,0,0,0,8,0,0,0,0,6
0,0,0,8,0,0,0,0,0,0
0,0,0,0,0,7,0,0,0,0
0,0,0,0,7,0,0,0,0,0
0,0,7,7,0,7,0,0,0,0
0,7,0,0,7,0,0,0,0,0
7,0,7,7,0,0,0,0,7,0
0,7,0,0,0,0,0,7,0,0
7,0,8,0,0,0,7,0,8,0
0,8,0,0,0,0,0,8,0,0
8,0,0,0,0,0,8,0,8,0
0,0,0,0,0,0,0,8,0,0
0,0,0,0,0,0,8,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,7,0
0,0,0,0,0,0,0,7,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,8,0,0,0,0,0,0,0
0,8,0,0,0,0,0,0,7,6
8,0,0,0,0,0,0,7,0,0
0,0,7,0,0,0,7,0,0,0
0,7,0,0,0,0,0,0,0,0
7,0,7,0,0,0,0,0,0,0
0,7,0,0,0,0,0,0,0,0
7,0,0,0,0,7,0,0,0,0
0,0,0,0,7,0,0,0,0,0
0,0,0,7,0,8,0,0,0,0
0,0,0,0,8,0,0,0,0,0
0,0,0,8,0,8,0,0,0,0
0,0,0,0,8,0,0,0,0,0
0,0,0,8,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,7,0,0,0,0
0,0,0,0,7,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,7,0,0,0,6
0,0,0,0,7,0,0,0,0,0
0,0,0,7,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,7,0,0,0,0,0,7,0
0,7,0,0,0,0,0,7,0,0
7,0,8,0,0,0,7,0,0,0
0,8,0,0,0,0,0,0,0,0
8,0,8,0,0,0,0,0,0,0
0,8,0,0,0,0,0,0,7,0
8,0,0,0,0,0,0,7,0,0
0,0,0,0,0,0,7,0,0,0
0,0,7,0,0,0,0,0,7,0
0,7,0,0,0,0,0,7,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,7,0,0,0,0,0,0,6
0,7,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,7,0
0,0,0,0,0,7,0,7,0,0
0,0,0,0,7,0,7,0,0,0
0,0,0,7,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,7,0,0,0,0
0,0,0,0,7,0,0,0,0,0
0,0,0,7,0,0,0,0,8,0
0,0,0,0,0,7,0,8,0,0
0,0,0,0,7,0,8,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,7,0,0,0,0
0,0,7,0,7,0,0,0,0,0
0,7,0,7,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,7,0,0,0,0,0,0,0
0,7,0,0,0,0,0,0,0,0
7,0,0,0,0,8,0,0,0,0
0,0,7,0,8,0,0,0,7,0
0,7,0,8,0,0,0,7,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,7,0,0,0,0,0,0,0
0,7,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,8,0,0,0,0,0,0,0
0,8,0,0,0,7,0,0,0,0
8,0,0,0,7,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,7,0
0,0,0,0,0,0,0,7,8,0
0,0,0,0,0,0,7,8,0,0
0,0,0,0,0,0,8,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,7,0,0,0,0,0,0,0
0,7,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,7,0,0
0,0,0,0,0,0,7,0,0,0
0,0,0,0,0,0,0,0,6,0
0,0,0,0,0,0,0,6,7,6
0,0,0,0,0,0,6,7,0,0
0,0,0,0,0,0,7,0,8,0
0,0,0,0,0,0,0,8,7,0
0,0,0,0,0,0,8,7,0,0
0,0,0,0,0,0,7,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,7,0,0,0,0
0,0,0,0,7,8,0,0,0,0
0,0,0,7,8,0,0,0,0,0
0,0,0,8,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,7,0,0,0,0,0
0,0,0,7,0,0,0,0,0,0
0,0,0,0,0,6,0,0,0,0
0,0,0,0,6,7,0,0,0,6
0,0,0,6,7,0,0,0,0,0
0,0,0,7,0,8,0,0,0,0
0,0,0,0,8,7,0,0,0,0
0,0,0,8,7,0,0,0,0,0
0,0,0,7,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,7,0,0,0,0,0,0,0
0,7,8,0,0,0,0,0,0,0
7,8,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
