q0,q1,q2,q3,q4,q5,q6,q7,q8,output
0,0,0,9,9,9,0,0,0,9
0,0,9,9,9,9,0,0,9,9
0,9,0,9,9,9,0,9,0,9
9,0,0,9,9,9,9,0,0,9
0,0,0,9,9,9,0,0,0,9
0,0,0,9,9,9,0,0,0,9
0,0,0,9,9,9,0,0,0,9
0,0,9,9,9,9,0,0,9,9
0,9,0,9,9,9,0,9,0,9
9,0,0,9,9,9,9,0,0,9
0,0,0,9,9,9,0,0,0,9
0,0,0,9,9,9,0,0,0,9
0,0,0,9,9,9,0,0,0,9
0,0,0,9,9,0,0,0,0,9
0,9,9,0,0,0,0,0,0,0
9,9,9,0,0,0,0,0,4,0
9,9,9,0,0,0,0,4,0,0
9,9,9,0,0,0,4,0,0,0
9,9,9,0,0,9,0,0,9,0
9,9,9,0,9,0,0,9,0,9
9,9,9,9,0,0,9,0,0,0
9,9,9,0,0,0,0,0,0,0
9,9,9,0,0,0,0,0,0,0
9,9,9,0,0,0,0,0,0,0
9,9,9,0,0,9,0,0,9,0
9,9,9,0,9,0,0,9,0,9
9,9,9,9,0,0,9,0,0,0
9,9,9,0,0,0,0,0,0,0
9,9,9,0,0,0,0,0,0,0
9,9,9,0,0,0,0,0,0,0
9,9,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,4,0
0,0,0,0,0,4,0,4,0,9
0,0,0,0,4,0,4,0,4,4
0,0,0,4,0,0,0,4,0,9
0,0,9,0,0,9,4,0,9,0
0,9,0,0,9,0,0,9,0,9
9,0,0,9,0,0,9,0,0,0
0,0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,0,9
0,0,9,0,0,9,0,0,9,0
0,9,0,0,9,0,0,9,0,9
9,0,0,9,0,0,9,0,0,0
0,0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,4,0,0,0,0
0,0,4,0,4,0,0,0,4,4
0,4,0,4,0,4,0,4,0,0
4,0,0,0,4,0,4,0,0,4
0,0,9,4,0,9,0,0,9,0
0,9,0,0,9,0,0,9,0,9
9,0,0,9,0,0,9,0,4,0
0,0,0,0,0,0,0,4,4,9
0,0,0,0,0,0,4,4,0,0
0,0,0,0,0,0,4,0,0,9
0,0,9,0,0,9,0,0,9,0
0,9,0,0,9,0,0,9,0,9
9,0,0,9,0,0,9,0,0,0
0,0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,0,0
0,0,4,0,0,0,0,0,0,0
0,4,0,0,0,4,0,0,0,9
4,0,4,0,4,0,0,0,0,4
0,4,0,4,0,0,0,0,0,9
4,0,9,0,0,9,0,0,9,0
0,9,0,0,9,0,0,9,0,9
9,0,0,9,0,4,9,0,0,0
0,0,0,0,4,4,0,0,0,4
0,0,0,4,4,0,0,0,0,4
0,0,0,4,0,0,0,0,0,9
0,0,9,0,0,9,0,0,9,0
0,9,0,0,9,0,0,9,0,9
9,0,0,9,0,0,9,0,0,0
0,0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,9,9,0
0,0,4,0,0,0,9,9,9,0
0,4,0,0,0,0,9,9,9,0
4,0,0,0,0,0,9,9,9,0
0,0,9,0,0,9,9,9,9,0
0,9,0,0,9,0,9,9,9,9
9,0,4,9,0,0,9,9,9,0
0,4,4,0,0,0,9,9,9,0
4,4,0,0,0,0,9,9,9,0
4,0,0,0,0,0,9,9,9,0
0,0,9,0,0,9,9,9,9,0
0,9,0,0,9,0,9,9,9,9
9,0,0,9,0,0,9,9,9,0
0,0,0,0,0,0,9,9,9,0
0,0,0,0,0,0,9,9,9,0
0,0,0,0,0,0,9,9,9,0
0,0,0,0,0,0,9,9,0,0
0,0,0,0,9,9,0,0,0,9
0,0,0,9,9,9,0,0,0,9
0,0,0,9,9,9,0,0,0,9
0,0,0,9,9,9,0,0,0,9
0,0,9,9,9,9,0,0,9,9
0,9,0,9,9,9,0,9,0,9
9,0,0,9,9,9,9,0,0,9
0,0,0,9,9,9,0,0,0,9
0,0,0,9,9,9,0,0,0,9
0,0,0,9,9,9,0,0,0,9
0,0,9,9,9,9,0,0,9,9
0,9,0,9,9,9,0,9,0,9
9,0,0,9,9,9,9,0,0,9
0,0,0,9,9,9,0,0,0,9
0,0,0,9,9,9,0,0,0,9
0,0,0,9,9,9,0,0,0,9
0,0,0,9,9,0,0,0,0,9
0,9,9,0,0,0,0,0,0,0
9,9,9,0,0,0,0,0,0,0
9,9,9,0,0,0,0,0,0,0
9,9,9,0,0,0,0,0,0,0
9,9,9,0,0,9,0,0,9,0
9,9,9,0,9,0,0,9,0,9
9,9,9,9,0,0,9,0,0,0
9,9,9,0,0,0,0,0,0,0
9,9,9,0,0,0,0,0,0,0
9,9,9,0,0,0,0,0,0,0
9,9,9,0,0,9,0,0,9,0
9,9,9,0,9,0,0,9,0,9
9,9,9,9,0,0,9,0,0,0
9,9,9,0,0,0,0,0,0,0
9,9,9,0,0,0,0,0,0,0
9,9,9,0,0,0,0,0,0,0
9,9,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,0,9
0,0,9,0,0,9,0,0,9,0
0,9,0,0,9,0,0,9,0,9
9,0,0,9,0,0,9,0,4,0
0,0,0,0,0,0,0,4,0,9
0,0,0,0,0,0,4,0,4,9
0,0,0,0,0,0,0,4,0,9
0,0,9,0,0,9,4,0,9,0
0,9,0,0,9,0,0,9,0,9
9,0,0,9,0,0,9,0,0,0
0,0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,9
0,0,9,0,0,9,0,0,9,0
0,9,0,0,9,0,0,9,0,9
9,0,0,9,0,4,9,0,0,0
0,0,0,0,4,0,0,0,0,4
0,0,0,4,0,4,0,0,0,0
0,0,0,0,4,0,0,0,0,4
0,0,9,4,0,9,0,0,9,0
0,9,0,0,9,0,0,9,0,9
9,0,0,9,0,0,9,0,0,0
0,0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,0,9
0,0,9,0,0,9,0,0,9,0
0,9,0,0,9,0,0,9,0,9
9,0,4,9,0,0,9,0,0,0
0,4,0,0,0,0,0,0,0,9
4,0,4,0,0,0,0,0,0,9
0,4,0,0,0,0,0,0,0,9
4,0,9,0,0,9,0,0,9,0
0,9,0,0,9,0,0,9,0,9
9,0,0,9,0,0,9,0,0,0
0,0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,9,0,0,9,0,0,0,0
0,9,0,0,9,0,0,0,0,9
9,0,0,9,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,9,0,0,9,0,0,0,0
0,9,0,0,9,0,0,0,0,9
9,0,0,9,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
