q0,q1,q2,q3,q4,q5,q6,q7,q8,output
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2
0,0,4,0,0,4,0,0,4,0
0,4,0,0,4,0,0,4,0,4
4,0,2,4,0,3,4,0,0,0
0,2,0,0,3,0,0,0,0,3
2,0,0,3,0,0,0,0,0,0
0,0,0,0,0,0,0,0,2,0
0,0,0,0,0,0,0,2,0,0
0,0,0,0,0,0,2,0,0,0
0,0,2,0,0,2,0,0,0,0
0,2,0,0,2,0,0,0,0,2
2,0,4,2,0,4,0,0,4,0
0,4,0,0,4,0,0,4,0,4
4,0,0,4,0,0,4,0,0,0
0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,4,0,0,4,0,0,4,0
0,4,0,0,4,0,0,4,0,4
4,0,3,4,0,0,4,0,0,0
0,3,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0
0,0,0,0,0,2,0,0,0,0
0,0,0,0,2,0,0,0,0,2
0,0,0,2,0,0,0,0,0,0
0,0,2,0,0,0,0,0,0,0
0,2,0,0,0,0,0,0,0,0
2,0,4,0,0,4,0,0,4,0
0,4,0,0,4,0,0,4,0,4
4,0,0,4,0,0,4,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,4,0,0,4,0,0,4,0
0,4,0,0,4,0,0,4,0,4
4,0,0,4,0,0,4,0,0,0
0,0,0,0,0,0,0,0,6,0
0,0,0,0,0,0,0,6,0,0
0,0,2,0,0,0,6,0,0,0
0,2,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,4,0,0,4,0,0,4,0
0,4,0,0,4,0,0,4,0,4
4,0,0,4,0,0,4,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,4,0,0,4,0,0,4,0
0,4,0,0,4,0,0,4,0,4
4,0,0,4,0,0,4,0,0,0
0,0,0,0,0,6,0,0,0,0
0,0,0,0,6,0,0,0,0,6
0,0,0,6,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,4,0,0,4,0,0,4,0
0,4,0,0,4,0,0,4,0,4
4,0,0,4,0,0,4,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,4,0,0,4,0,0,4,0
0,4,0,0,4,0,0,4,0,4
4,0,0,4,0,0,4,0,0,0
0,0,6,0,0,0,0,0,0,0
0,6,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,6,0
0,0,0,0,0,0,0,6,0,0
0,0,0,0,0,0,6,0,0,0
0,0,4,0,0,4,0,0,4,0
0,4,0,0,4,0,0,4,0,4
4,0,0,4,0,0,4,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,4,4,0
0,0,0,0,0,0,4,4,4,0
0,0,0,0,0,0,4,4,4,0
0,0,0,0,0,0,4,4,4,0
0,0,0,0,0,0,4,4,4,0
0,0,0,0,0,0,4,4,4,0
0,0,0,0,0,0,4,4,4,6
0,0,0,0,0,0,4,4,4,0
0,0,4,0,0,4,4,4,4,0
0,4,0,0,4,0,4,4,4,4
4,0,0,4,0,0,4,4,4,0
0,0,0,0,0,0,4,4,4,0
0,0,0,0,0,0,4,4,4,0
0,0,0,0,0,0,4,4,4,0
0,0,0,0,0,0,4,4,4,0
0,0,0,0,0,6,4,4,4,0
0,0,0,0,6,0,4,4,4,6
0,0,0,6,0,0,4,4,4,0
0,0,4,0,0,4,4,4,4,0
0,4,0,0,4,0,4,4,4,4
4,0,0,4,0,0,4,4,4,0
0,0,0,0,0,0,4,4,4,0
0,0,0,0,0,0,4,4,4,0
0,0,0,0,0,0,4,4,4,0
0,0,0,0,0,0,4,4,4,0
0,0,0,0,0,0,4,4,4,0
0,0,0,0,0,0,4,4,4,6
0,0,0,0,0,0,4,4,4,0
0,0,0,0,0,0,4,4,0,0
0,0,0,0,4,4,0,0,0,4
0,0,0,4,4,4,0,0,0,4
0,0,0,4,4,4,0,0,0,4
0,0,0,4,4,4,0,0,0,4
0,0,0,4,4,4,0,0,0,4
0,0,0,4,4,4,0,0,0,4
0,0,0,4,4,4,0,0,0,4
0,0,0,4,4,4,0,0,0,4
0,0,4,4,4,4,0,0,4,4
0,4,0,4,4,4,0,4,0,4
4,0,0,4,4,4,4,0,0,4
0,0,0,4,4,4,0,0,0,4
0,0,0,4,4,4,0,0,0,4
0,0,0,4,4,4,0,0,0,4
0,0,0,4,4,4,0,0,0,4
0,0,6,4,4,4,0,0,0,4
0,6,0,4,4,4,0,0,0,4
6,0,0,4,4,4,0,0,0,4
0,0,4,4,4,4,0,0,4,4
0,4,0,4,4,4,0,4,0,4
4,0,0,4,4,4,4,0,0,4
0,0,0,4,4,4,0,0,0,4
0,0,0,4,4,4,0,0,0,4
0,0,0,4,4,4,0,0,0,4
0,0,0,4,4,4,0,0,0,4
0,0,0,4,4,4,0,0,0,4
0,0,0,4,4,4,0,0,0,4
0,0,0,4,4,4,0,0,0,4
0,0,0,4,4,0,0,0,0,4
0,4,4,0,0,0,0,0,0,0
4,4,4,0,0,0,0,0,0,0
4,4,4,0,0,0,0,0,0,0
4,4,4,0,0,0,0,0,0,0
4,4,4,0,0,0,0,0,0,0
4,4,4,0,0,0,0,0,0,0
4,4,4,0,0,0,0,0,0,0
4,4,4,0,0,0,0,0,0,0
4,4,4,0,0,4,0,0,4,0
4,4,4,0,4,0,0,4,0,4
4,4,4,4,0,0,4,0,0,0
4,4,4,0,0,0,0,0,0,0
4,4,4,0,0,0,0,0,0,0
4,4,4,0,0,0,0,0,0,0
4,4,4,0,0,0,0,0,0,0
4,4,4,0,0,0,0,0,0,0
4,4,4,0,0,0,0,0,0,0
4,4,4,0,0,0,0,0,0,0
4,4,4,0,0,4,0,0,4,0
4,4,4,0,4,0,0,4,0,4
4,4,4,4,0,0,4,0,0,0
4,4,4,0,0,0,0,0,0,0
4,4,4,0,0,0,0,0,0,0
4,4,4,0,0,0,0,0,0,0
4,4,4,0,0,0,0,0,0,0
4,4,4,0,0,0,0,0,0,0
4,4,4,0,0,0,0,0,0,0
4,4,4,0,0,0,0,0,0,0
4,4,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,4,0,0,4,0,0,4,0
0,4,0,0,4,0,0,4,0,4
4,0,0,4,0,0,4,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,4,0,0,4,0,0,4,0
0,4,0,0,4,0,0,4,0,4
4,0,0,4,0,0,4,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2
0,0,4,0,0,4,0,0,4,0
0,4,0,0,4,0,0,4,0,4
4,0,0,4,0,0,4,0,0,0
0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2
0,0,4,0,0,4,0,0,4,0
0,4,0,0,4,0,0,4,0,4
4,0,0,4,0,0,4,0,0,0
0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2
0,0,4,0,0,4,0,0,4,0
0,4,0,0,4,0,0,4,0,4
4,0,0,4,0,0,4,0,0,0
0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2
0,0,4,0,0,4,0,0,4,0
0,4,0,0,4,0,0,4,0,4
4,0,0,4,0,0,4,0,0,0
0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,4,0,0,4,0,0,4,0
0,4,0,0,4,0,0,4,0,4
4,0,0,4,0,0,4,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,4,0,0,4,0,0,4,0
0,4,0,0,4,0,0,4,0,4
4,0,0,4,0,0,4,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,4,0,0,4,0,0,4,0
0,4,0,0,4,0,0,4,0,4
4,0,0,4,0,0,4,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,4,0,0,4,0,0,4,0
0,4,0,0,4,0,0,4,0,4
4,0,0,4,0,0,4,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,4,0,0,4,0,0,4,0
0,4,0,0,4,0,0,4,0,4
4,0,0,4,0,0,4,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,4,0,0,4,0,0,4,0
0,4,0,0,4,0,0,4,0,4
4,0,0,4,0,0,4,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,4,0,0,4,0,0,4,0
0,4,0,0,4,0,0,4,0,4
4,0,0,4,0,0,4,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,4,0,0,4,0,0,4,0
0,4,0,0,4,0,0,4,0,4
4,0,0,4,0,0,4,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,0
0,0,4,0,0,4,0,0,0,0
0,4,0,0,4,0,0,0,0,4
4,0,0,4,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,0
0,0,4,0,0,4,0,0,0,0
0,4,0,0,4,0,0,0,0,4
4,0,0,4,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
