q0,q1,q2,q3,q4,q5,q6,q7,q8,output
3,3,3,3,3,3,3,3,3,8
3,3,0,3,3,0,3,3,0,5
0,5,7,0,8,5,0,5,7,5
5,7,8,8,5,7,5,7,8,7
7,8,5,5,7,8,7,8,5,8
8,5,7,7,8,5,8,5,7,5
5,7,8,8,5,7,5,7,8,7
7,8,5,5,7,8,7,8,5,8
8,5,7,7,8,5,8,5,7,5
5,7,8,8,5,7,5,7,8,7
7,8,5,5,7,8,7,8,5,8
8,5,7,7,8,5,8,5,7,5
5,7,8,8,5,7,5,7,8,7
7,8,3,5,7,3,7,8,3,8
8,3,3,7,3,3,8,3,3,5
3,3,3,3,3,3,3,3,3,7
3,3,3,3,3,3,3,3,3,8
3,3,3,3,3,3,3,3,3,5
3,3,3,3,3,3,3,3,3,7
3,3,0,3,3,0,3,3,0,8
0,8,5,0,5,7,0,3,3,7
8,5,7,5,7,8,3,3,3,8
5,7,8,7,8,5,3,3,3,5
7,8,5,8,5,7,3,3,3,7
8,5,7,5,7,8,3,3,3,8
5,7,8,7,8,5,3,3,3,5
7,8,5,8,5,7,3,3,3,7
8,5,7,5,7,8,3,3,3,8
5,7,8,7,8,5,3,3,3,5
7,8,5,8,5,7,3,3,3,7
8,5,7,5,7,8,3,3,3,8
5,7,3,7,8,3,3,3,3,5
7,3,3,8,3,3,3,3,3,7
3,3,3,3,3,3,3,3,3,8
3,3,3,3,3,3,3,3,3,5
3,3,3,3,3,3,3,3,3,7
3,3,3,3,3,3,3,3,3,8
3,3,0,3,3,0,3,3,0,5
0,5,7,0,3,3,0,3,3,5
5,7,8,3,3,3,3,3,3,7
7,8,5,3,3,3,3,3,3,8
8,5,7,3,3,3,3,3,3,5
5,7,8,3,3,3,3,3,3,7
7,8,5,3,3,3,3,3,3,8
8,5,7,3,3,3,3,3,3,5
5,7,8,3,3,3,3,3,3,7
7,8,5,3,3,3,3,3,3,8
8,5,7,3,3,3,3,3,3,5
5,7,8,3,3,3,3,3,3,7
7,8,3,3,3,3,3,3,3,8
8,3,3,3,3,3,3,3,3,5
3,3,3,3,3,3,3,3,3,7
3,3,3,3,3,3,3,3,3,8
3,3,3,3,3,3,3,3,3,5
3,3,3,3,3,3,3,3,3,7
3,3,0,3,3,0,3,3,0,8
0,3,3,0,3,3,0,3,3,7
3,3,3,3,3,3,3,3,3,8
3,3,3,3,3,3,3,3,3,5
3,3,3,3,3,3,3,3,3,7
3,3,3,3,3,3,3,3,3,8
3,3,3,3,3,3,3,3,3,5
3,3,3,3,3,3,3,3,3,7
3,3,3,3,3,3,3,3,3,8
3,3,3,3,3,3,3,3,3,5
3,3,3,3,3,3,3,3,3,7
3,3,3,3,3,3,3,3,3,8
3,3,3,3,3,3,3,3,3,5
3,3,3,3,3,3,3,3,3,7
3,3,3,3,3,3,3,3,3,8
3,3,3,3,3,3,3,3,3,5
3,3,3,3,3,3,3,3,3,7
3,3,3,3,3,3,3,3,3,8
3,3,0,3,3,0,3,3,0,5
0,3,3,0,3,3,0,3,3,5
3,3,3,3,3,3,3,3,3,7
3,3,3,3,3,3,3,3,3,8
3,3,3,3,3,3,3,3,3,5
3,3,3,3,3,3,3,3,3,7
3,3,3,3,3,3,3,3,3,8
3,3,3,3,3,3,3,3,3,5
3,3,3,3,3,3,3,3,3,7
3,3,3,3,3,3,3,3,3,8
3,3,3,3,3,3,3,3,3,5
3,3,3,3,3,3,3,3,3,7
3,3,3,3,3,3,3,3,3,8
3,3,3,3,3,3,3,3,3,5
3,3,3,3,3,3,3,3,3,7
3,3,3,3,3,3,3,3,3,8
3,3,3,3,3,3,3,3,3,5
3,3,3,3,3,3,3,3,3,7
3,3,0,3,3,0,3,3,0,8
0,3,3,0,3,3,0,3,3,7
3,3,3,3,3,3,3,3,3,8
3,3,3,3,3,3,3,3,3,5
3,3,3,3,3,3,3,3,3,7
3,3,3,3,3,3,3,3,3,8
3,3,3,3,3,3,3,3,3,5
3,3,3,3,3,3,3,3,3,7
3,3,3,3,3,3,3,3,3,8
3,3,3,3,3,3,3,3,3,5
3,3,3,3,3,3,3,3,3,7
3,3,3,3,3,3,3,3,3,8
3,3,3,3,3,3,3,3,3,5
3,3,3,3,3,3,3,3,3,7
3,3,3,3,3,3,3,3,3,8
3,3,3,3,3,3,3,3,3,5
3,3,3,3,3,3,3,3,3,7
3,3,3,3,3,3,3,3,3,8
3,3,0,3,3,0,3,3,0,5
0,3,3,0,3,3,0,3,3,5
3,3,3,3,3,3,3,3,3,7
3,3,3,3,3,3,3,3,3,8
3,3,3,3,3,3,3,3,3,5
3,3,3,3,3,3,3,3,3,7
3,3,3,3,3,3,3,3,3,8
3,3,3,3,3,3,3,3,3,5
3,3,3,3,3,3,3,3,3,7
3,3,3,3,3,3,3,3,3,8
3,3,3,3,3,3,3,3,3,5
3,3,3,3,3,3,3,3,3,7
3,3,3,3,3,3,3,3,3,8
3,3,3,3,3,3,3,3,3,5
3,3,3,3,3,3,3,3,3,7
3,3,3,3,3,3,3,3,3,8
3,3,3,3,3,3,3,3,3,5
3,3,3,3,3,3,3,3,3,7
3,3,0,3,3,0,3,3,0,8
0,3,3,0,3,3,0,0,0,7
3,3,3,3,3,3,0,0,0,8
3,3,3,3,3,3,0,0,0,5
3,3,3,3,3,3,0,0,0,7
3,3,3,3,3,3,0,0,0,8
3,3,3,3,3,3,0,0,0,5
3,3,3,3,3,3,0,0,0,7
3,3,3,3,3,3,0,0,0,8
3,3,3,3,3,3,0,0,0,5
3,3,3,3,3,3,0,0,0,7
3,3,3,3,3,3,0,0,0,8
3,3,3,3,3,3,0,0,0,5
3,3,3,3,3,3,0,0,0,7
3,3,3,3,3,3,0,0,0,8
3,3,3,3,3,3,0,0,0,5
3,3,3,3,3,3,0,0,0,7
3,3,3,3,3,3,0,0,0,8
3,3,0,3,3,0,0,0,0,5
