q0,q1,q2,q3,q4,q5,q6,q7,q8,output
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,8
3,3,3,3,3,3,3,3,3,8
3,3,1,3,3,1,3,3,3,8
3,1,1,3,1,1,3,3,3,1
1,1,1,1,1,1,3,3,3,1
1,1,3,1,1,3,3,3,3,1
1,3,3,1,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,0,3,3,0,3,3,0,3
0,3,3,0,3,3,0,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,1,3,3,3,3,3,3,3
3,1,1,3,3,3,3,3,3,3
1,1,1,3,3,3,3,3,3,3
1,1,3,3,3,3,3,3,3,3
1,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,0,3,3,0,3,3,0,3
0,3,3,0,3,3,0,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,0,3,3,0,3,3,0,3
0,3,3,0,3,3,0,3,1,3
3,3,3,3,3,3,3,1,3,3
3,3,3,3,3,3,1,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,1,3
3,3,3,3,3,3,3,1,1,3
3,3,3,3,3,3,1,1,3,3
3,3,3,3,3,3,1,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,0,3,3,0,3,3,0,3
0,3,3,0,3,1,0,3,3,3
3,3,3,3,1,3,3,3,3,1
3,3,3,1,3,3,3,3,3,8
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,8
3,3,3,3,3,1,3,3,1,8
3,3,3,3,1,1,3,1,1,1
3,3,3,1,1,3,1,1,3,1
3,3,3,1,3,3,1,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,0,3,3,0,3,3,0,3
0,3,1,0,3,3,0,3,3,3
3,1,3,3,3,3,3,3,3,8
1,3,3,3,3,3,3,3,4,3
3,3,3,3,3,3,3,4,3,8
3,3,3,3,3,3,4,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,8
3,3,1,3,3,1,3,3,3,8
3,1,1,3,1,1,3,3,3,1
1,1,3,1,1,3,3,3,3,1
1,3,3,1,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,0,3,3,0,3,3,0,3
0,3,3,0,3,3,0,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,4,3,3,3,8
3,3,3,3,4,3,3,3,3,4
3,3,3,4,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,8
3,3,3,3,3,3,3,3,3,8
3,3,3,3,3,3,3,3,3,3
3,3,1,3,3,3,3,3,3,3
3,1,1,3,3,3,3,3,3,8
1,1,3,3,3,3,3,3,3,8
1,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,0,3,3,0,3,3,0,3
0,3,3,0,3,3,0,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,4,3,3,3,3,3,3,3
3,4,3,3,3,3,3,3,3,3
4,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,4,3
3,3,3,3,3,3,3,4,4,8
3,3,3,3,3,3,4,4,3,8
3,3,3,3,3,3,4,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,8
3,3,3,3,3,3,3,3,3,8
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,0,3,3,0,3,3,0,3
0,3,3,0,3,3,0,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,4,3,3,4,3
3,3,3,3,4,4,3,4,4,4
3,3,3,4,4,3,4,4,3,4
3,3,3,4,3,3,4,3,3,8
3,3,3,3,3,3,3,3,3,8
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,0,3,3,0,3,3,0,3
0,3,3,0,3,3,0,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,4,3,3,4,3,3,3,3
3,4,4,3,4,4,3,3,3,4
4,4,3,4,4,3,3,3,3,4
4,3,3,4,3,3,3,3,3,8
3,3,3,3,3,3,3,3,3,8
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,0,3,3,0,3,3,0,3
0,3,3,0,3,3,0,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,4,3,3,3,3,3,3,3
3,4,4,3,3,3,3,3,3,3
4,4,3,3,3,3,3,3,3,3
4,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,0,3,3,0,3,3,0,3
0,3,3,0,3,3,0,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3
3,3,0,3,3,0,3,3,0,3
0,3,3,0,3,3,0,0,0,3
3,3,3,3,3,3,0,0,0,3
3,3,3,3,3,3,0,0,0,3
3,3,3,3,3,3,0,0,0,3
3,3,3,3,3,3,0,0,0,3
3,3,3,3,3,3,0,0,0,3
3,3,3,3,3,3,0,0,0,3
3,3,3,3,3,3,0,0,0,3
3,3,3,3,3,3,0,0,0,3
3,3,3,3,3,3,0,0,0,3
3,3,3,3,3,3,0,0,0,3
3,3,3,3,3,3,0,0,0,3
3,3,3,3,3,3,0,0,0,3
3,3,3,3,3,3,0,0,0,3
3,3,3,3,3,3,0,0,0,3
3,3,3,3,3,3,0,0,0,3
3,3,3,3,3,3,0,0,0,3
3,3,3,3,3,3,0,0,0,3
3,3,3,3,3,3,0,0,0,3
3,3,3,3,3,3,0,0,0,3
3,3,3,3,3,3,0,0,0,3
3,3,0,3,3,0,0,0,0,3
