q0,q1,q2,q3,q4,q5,q6,q7,q8,output
0,0,0,0,0,0,1,1,4,0
0,0,0,0,0,0,1,4,0,0
0,0,0,0,0,0,4,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,1,0,0,0,1
0,0,0,1,1,4,0,0,0,1
0,0,0,1,4,0,0,0,0,4
0,0,0,4,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,4
0,1,1,0,0,0,0,0,0,0
1,1,4,0,0,0,0,0,0,0
1,4,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,6,6,0
0,0,0,0,0,0,6,6,8,0
0,0,0,0,0,0,6,8,0,0
0,0,0,0,0,0,8,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,6,6,0,0,0,6
0,0,0,6,6,8,0,0,0,6
0,0,0,6,8,0,0,0,0,8
0,0,0,8,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,8
0,0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,8
0,0,0,0,0,0,0,0,0,8
0,0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,8
0,6,6,0,0,0,0,1,1,0
6,6,8,0,0,0,1,1,6,0
6,8,0,0,0,0,1,6,0,0
8,0,0,0,0,0,6,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,1,0,0,0,1
0,0,0,1,1,6,0,0,0,1
0,0,0,1,6,0,0,0,0,6
0,0,0,6,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,6
0,1,1,0,0,0,0,0,0,0
1,1,6,0,0,0,0,0,0,0
1,6,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
