q0,q1,q2,q3,q4,q5,q6,q7,q8,output
0,0,0,0,0,0,0,0,0,0
0,0,6,0,0,0,0,0,0,0
0,6,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,1,0
0,0,0,0,0,1,0,1,1,0
0,0,1,0,1,1,1,1,0,1
0,1,0,1,1,1,1,0,1,1
1,0,0,1,1,0,0,1,1,1
0,0,0,1,0,0,1,1,0,0
0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,6,0
0,0,0,0,0,0,0,6,0,0
0,0,0,0,0,0,6,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,6,0
0,0,0,0,0,0,0,6,0,0
0,0,0,0,0,0,6,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,1,0,1,0,0
0,0,1,0,1,1,1,0,0,1
0,1,1,1,1,0,0,0,0,1
1,1,1,1,0,1,0,0,0,0
1,1,0,0,1,1,0,0,0,1
1,0,0,1,1,0,0,0,1,1
0,0,0,1,0,0,0,1,0,0
0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,6,0,0,0,0
0,0,0,0,6,0,0,0,0,6
0,0,0,6,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,6,0,0,0,0
0,0,0,0,6,0,0,0,0,6
0,0,0,6,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0
0,0,1,0,1,0,0,0,0,1
0,1,1,1,0,0,0,0,0,6
1,1,0,0,0,0,0,0,0,6
1,0,1,0,0,0,0,0,6,0
0,1,1,0,0,0,0,6,0,6
1,1,0,0,0,1,6,0,0,0
1,0,0,0,1,0,0,0,0,1
0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,6,0,0,0,0,0,0,0
0,6,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,6,0
0,0,0,0,0,0,0,6,0,0
0,0,6,0,0,0,6,0,0,0
0,6,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,6,0,0
0,0,0,0,0,0,6,0,0,0
0,0,1,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,6,0
1,0,0,0,0,0,0,6,0,6
0,0,0,0,0,0,6,0,0,6
0,0,0,0,0,6,0,0,0,0
0,0,0,0,6,0,0,0,0,6
0,0,1,6,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,6,0,0,0,0
0,0,0,0,6,0,0,0,0,6
0,0,0,6,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,6,0,0,0,0,6
0,0,0,6,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,6,0,0,0,0
0,0,0,0,6,0,0,0,0,6
0,0,0,6,0,0,0,0,0,6
0,0,6,0,0,0,0,0,0,0
0,6,0,0,0,0,0,0,0,6
6,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,6,0,0,0,0,0,0,0
0,6,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,6,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,6,0,0,0,0,0,0,0
0,6,0,0,0,0,0,0,6,6
6,0,0,0,0,0,0,6,0,6
0,0,0,0,0,0,6,0,0,0
0,0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,6,0,0,0,6
0,0,0,0,6,0,0,0,0,6
0,0,0,6,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,6,0
0,0,0,0,0,0,0,6,0,0
0,0,0,0,0,0,6,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,6,0,0,0,0,0,0,6
0,6,0,0,0,0,0,0,0,6
6,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,6,0
0,0,0,0,0,0,0,6,0,0
0,0,0,0,0,0,6,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,6,0
0,0,0,0,0,0,0,6,0,0
0,0,0,0,0,0,6,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,6,0,0,0,0
0,0,0,0,6,0,0,0,0,6
0,0,0,6,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,6,0,0,0,0
0,0,0,0,6,0,0,0,0,6
0,0,0,6,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,6,0,0,0,0
0,0,0,0,6,0,0,0,0,6
0,0,0,6,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,6,0,0,0,0,0,0,0
0,6,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,6,0,0,0,0,0,0,0
0,6,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,6,0,0,0,0,0,0,0
0,6,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,6,0
0,0,0,0,0,0,0,6,0,0
0,0,0,0,0,0,6,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,6,0,0,0,0
0,0,0,0,6,0,0,0,0,6
0,0,0,6,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,6,0
0,0,0,0,0,0,0,6,0,6
0,0,0,0,0,0,6,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,6,0
0,0,0,0,0,0,0,6,0,0
0,0,0,0,0,0,6,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,6,0,0,0,0,0,0,0
0,6,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,6
0,0,0,0,0,6,0,0,0,0
0,0,0,0,6,0,0,0,0,6
0,0,0,6,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,6,0,0,0,0
0,0,0,0,6,0,0,0,0,6
0,0,0,6,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,6
0,0,6,0,0,0,0,0,0,0
0,6,0,0,0,0,0,0,0,6
6,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,6,0,0,0,0,0,0,0
0,6,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,6,0
0,0,0,0,0,0,0,6,0,0
0,0,0,0,0,0,6,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,6,0
0,0,0,0,0,0,0,6,0,0
0,0,0,0,0,0,6,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,6,0,0,0,0
0,0,0,0,6,0,0,0,0,6
0,0,0,6,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,6,0,0,0,0
0,0,0,0,6,0,0,0,0,6
0,0,0,6,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,6,0,0,0,0,0,0,0
0,6,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
